route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
95-VIC,4868,11374228:11404890:11460162,Blink - to Downtown,18717,11460162,0
95-VIC,4876,11374228:11404890:12154298,Blink - to Downtown,18717,12154298,0
24-VIC,4867,11385139:11404896:11460063,Cedar Hill via Cook North,44800,11460063,0
24-VIC,4858,11385139:11404896:11461998,Cedar Hill via Cook North,44800,11461998,0
24-VIC,4744,11385139:11404896:11463550,Cedar Hill via Cook North,44800,11463550,0
24-VIC,4875,11385139:11404896:12154336,Cedar Hill via Cook North,44800,12154336,0
24-VIC,4870,11385139:11404896:12154850,Cedar Hill via Cook North,44800,12154850,0
14-VIC,4745,11518890:11404905:11463291,Vic General via Craigflower,40195,11463291,1
21-VIC,4858,11305192:11404910:11459824,Interurban to Camosun only,23380,11459824,0
21-VIC,4867,11305192:11404910:11460108,Interurban to Camosun only,23380,11460108,0
21-VIC,4744,11305192:11404910:11460727,Interurban to Camosun only,23380,11460727,0
21-VIC,4875,11305192:11404910:12153593,Interurban to Camosun only,23380,12153593,0
21-VIC,4870,11305192:11404910:12154759,Interurban to Camosun only,23380,12154759,0
27-VIC,4743,11528231:11404912:11464207,Downtown via Shelbourne,45299,11464207,1
8-VIC,4868,11340731:11404919:11460515,Tillicum Ctr via Finlayson,45375,11460515,1
8-VIC,4876,11340731:11404919:12155428,Tillicum Ctr via Finlayson,45375,12155428,1
15-VIC,4487,11550223:11404920:11462833,Esquimalt - Fort/Yates Express,23403,11462833,1
95-VIC,4867,11280300:11404925:11462144,Blink - to Downtown,18717,11462144,0
95-VIC,4858,11280300:11404925:11463463,Blink - to Downtown,18717,11463463,0
95-VIC,4744,11280300:11404925:11464994,Blink - to Downtown,18717,11464994,0
95-VIC,4875,11280300:11404925:12153356,Blink - to Downtown,18717,12153356,0
95-VIC,4870,11280300:11404925:12153938,Blink - to Downtown,18717,12153938,0
8-VIC,4743,11528287:11404928:11461354,Oak Bay via Finlayson,45259,11461354,0
95-VIC,4869,11374391:11404930:11463574,Blink - to Langford,18836,11463574,1
95-VIC,4877,11374391:11404930:12154605,Blink - to Langford,18836,12154605,1
6-VIC,4868,11343086:11404932:11462272,Downtown via Royal Oak Ctr,18962,11462272,1
6-VIC,4876,11343086:11404932:12154924,Downtown via Royal Oak Ctr,18962,12154924,1
95-VIC,4869,11374378:11404934:11460485,Blink - to Langford,18836,11460485,1
